#2018

-Vicechairs
Km1V8WwAAAAJ*Vinayak Borkar
YQV_ChkAAAAJ*Marco Brambilla
biuxbRsAAAAJ*Matthias Brantner
rPn2SMoAAAAJ*Stephane Bressan
w5bvD40AAAAJ*Yingyi Bu
*K. Selcuk Candan
QXyj0hkAAAAJ*Zhao Cao
*Bogdan Cautis
0XpXCu8AAAAJ*Konstantinos Chatzikokolakis
o-I3jsgAAAAJ*James Cheng
*Fei Chiang
*Panos K. Chrysanthis
*Philippe Cudre-Mauroux
IJAU8KoAAAAJ*Bin Cui
QPyHkEQAAAAJ*Alfredo Cuzzocrea
Kk0QTh4AAAAJ*Khuzaima Daudjee
srFoN_4AAAAJ*Antonios Deligiannakis
pOh1as0AAAAJ*Amol Deshpande
2BnMsFIAAAAJ*Daniel Deutch
Hs9cVRgAAAAJ*Alan Fekete
hEonvSwAAAAJ*Johann Gamper
*Minos Garofalakis
*Carmem Hara
yJ998VYAAAAJ*Thomas Heinis
K5VPw-IAAAAJ*Melanie Herschel
*Vagelis Hristidis
PpcRwI0AAAAJ*Xin Huang
63bBmc3mYrAC*Seung-Won Hwang
6CYvAjIAAAAJ*Heasoo Hwang
jCJDleAAAAAJ*Yoshiharu Ishikawa
f5vdXEQAAAAJ*Alekh Jindal
-NdSrrYAAAAJ*Panos Kalnis
av8jooQAAAAJ*Verena Kantere
B6C4aBoAAAAJ*Panagiotis Karras
1KdkcSoAAAAJ*Asterios Katsifodimos
*Yannis Katsis
ot2J_RUAAAAJ*Georgios Kellaris
vLbmweYAAAAJ*Bettina Kemme
aP-_mb8AAAAJ*Florian Kerschbaum
bxSK7o8AAAAJ*Benny Kimelfeld
CaO1wNAAAAAJ*Paraschos Koutris
biuxbRsAAAAJ*Tim Kraska
hZQ57XcAAAAJ*Arun Kumar
YYzvyMQAAAAJ*Wolfgang Lehner
*Chuan Lei
Pi89P8kAAAAJ*Guoliang Li
v8ZQDf8AAAAJ*Chengkai Li
qPDhlWkAAAAJ*Feifei Li
ICOWtt0AAAAJ*Yanhua Li
_ILTBg0AAAAJ*Lipyeow Lim
j6rglkYAAAAJ*Xuemin Lin
EVNolAkAAAAJ*Jiaheng Lu
vJUjFpQAAAAJ*Shuai Ma
A0hv6xwAAAAJ*Ashwin Machanavajjhala
jOvUDjYAAAAJ*Nikos Mamoulis
E0QQoIMAAAAJ*Davide Martinenghi
kZti0OcAAAAJ*Michael Mathioudakis
Uk9v1BQAAAAJ*Bongki Moon
vq5oTnEAAAAJ*Kyriakos Mouratidis
*Rene Mueller
*Vivek Narasayya
xSDfDpsAAAAJ*Thomas Neumann
*Benjamin Nguyen
ZXjO-Q4AAAAJ*Nicola Onose
*Beng Chin Ooi
JzoifEMAAAAJ*Fatma Ozcan
XQOSmToAAAAJ*Stavros Papadopoulos
2ubDR0gAAAAJ*Stelios Paparizos
2mjUsP8AAAAJ*Srinivasan Parthasarathy
XGzPuKEAAAAJ*Torben Bach Pedersen
vYcHYoYAAAAJ*Peter Pietzuch
7yQLkCMAAAAJ*Danica Porobic
1XZix7MAAAAJ*Nicoleta Preda
4daYeHcAAAAJ*Jorge-Arnulfo Quiané-Ruiz
3ggE9SkAAAAJ*Rajeev Rastogi
5okzSN0AAAAJ*Matteo Riondato
O3SR2kAAAAAJ*Marry Roth
8PfpzuEAAAAJ*Florin Rusu
o0F3sqEAAAAJ*Sourav S Bhowmick
XxQq8nsAAAAJ*Semih Salihoglu
SLdtHZAAAAAJ*Felix Martin Schuhknecht
wKuXqccAAAAJ*Russell Sears
KHjLaWAAAAAJ*Mohamed Sharaf
SGT23RAAAAAJ*Anshumali Shrivastava
6DK9cqAAAAAJ*Shaoxu Song
TQgOjK0AAAAJ*Yizhou Sun
ca7BUlkAAAAJ*Kian-Lee Tan
LVKaMIgAAAAJ*Egemen Tanin
3FmJBHkAAAAJ*Yufei Tao
JU-zSOkAAAAJ*Farhan Tauheed
HF2G3LAAAAAJ*Boon Thau Loo
RaINcuUAAAAJ*Yongxin Tong
*Panayiotis Tsaparas
IS2FI1oAAAAJ*Dimitrios Tsoumakos
3NqU8V8AAAAJ*Katerina Tzompanaki
oaM-d7QAAAAJ*Vasilis Vassalos
FI1rYesAAAAJ*Yannis Velegrakis
*Stratis Viglas
Lkt7O6wAAAAJ*Hannes Voigt
w6hts30AAAAJ*Steven Whang
*Yuqing Wu
*Xiaokui Xiao
a4HRDBEAAAAJ*Lianghong Xu
r1VFrkAAAAAJ*Yin David Yang
*Jeffery Xu Yu
*Mingxuan Yuan
f8FjAtMAAAAJ*Carlo Zaniolo
Htf2zbsAAAAJ*Rui Zhang
GkXqbmMAAAAJ*Ce Zhang
*Zhenjie Zhang
kAq_-McAAAAJ*Vincent W. Zheng
Nr6E_rIAAAAJ*Wenchao Zhou
E4GQv5cAAAAJ*Aoying Zhou
jZgjlGUAAAAJ*Lei Zou
s-FDyf4AAAAJ*Andreas Züfle
