"PID","Name","Affiliation","Duty","Conference","Year","City","State","Country","#Papers","#Citations"
"dWcZPFEAAAAJ","Ke Yi","HKUST","PC Members","sigmod","2018","Houston","Texas","USA",104,3829
"ca7BUlkAAAAJ","Kian-Hian Tan","Assistant Professor Duke-NUS Graduate Medical School","PC Members","sigmod","2018","Houston","Texas","USA",16,243
"mADR4AYAAAAJ","Kjetil NÃ¸rvÃ¥g","Professor of Computer Science;Norwegian Univ. of Science and Technology","PC Members","sigmod","2018","Houston","Texas","USA",206,3051
"QY-earAAAAAJ","Kristian Kersting","Professor of Computer Science;TU Darmstadt","PC Members","sigmod","2018","Houston","Texas","USA",309,5811
"_RCsaOsAAAAJ","Laks V.S. Lakshmanan","Professor of Computer Science;University of British Columbia","PC Members","sigmod","2018","Houston","Texas","USA",274,14459
"jZgjlGUAAAAJ","Lei Zou","Professor","PC Members","sigmod","2018","Houston","Texas","USA",83,1524
"gtglwgYAAAAJ","Lei Chen","Hong Kong University of Science and Technology","PC Members","sigmod","2018","Houston","Texas","USA",443,9806
"jJ8BLgsAAAAJ","Li Xiong","Emory University","PC Members","sigmod","2018","Houston","Texas","USA",182,5861
"1JhvxSEAAAAJ","Lucian Popa","IBM Almaden Research Center","PC Members","sigmod","2018","Houston","Texas","USA",85,6048
"DDxFvcIAAAAJ","Magdalena Balazinska","University of Washington","PC Members","sigmod","2018","Houston","Texas","USA",186,11065
"oJ6G8gUAAAAJ","makoto onizuka","Osaka University","PC Members","sigmod","2018","Houston","Texas","USA",53,1175
"RyXHY68AAAAJ","Manos Athanassoulis","Postdoctoral Researcher;Harvard University","PC Members","sigmod","2018","Houston","Texas","USA",26,521
"DuLgpaQAAAAJ","Meihui ZHANG","Beijing Institute of Technology","PC Members","sigmod","2018","Houston","Texas","USA",36,781
"wuj5y3MAAAAJ","Michael Hay","Colgate University","PC Members","sigmod","2018","Houston","Texas","USA",33,2722
"WemX9rAAAAAJ","Minos Garofalakis","Director; IMSI; Athena Research and Innovation Centre & Professor;Technical University of Crete","PC Members","sigmod","2018","Houston","Texas","USA",221,12551
"kOc0x0MAAAAJ","Mohamed Sarwat","Assistant Professor of Computer Science;Arizona State University","PC Members","sigmod","2018","Houston","Texas","USA",47,803
"Lx9fbJoAAAAJ","Mohammad Sadoghi","Assistant Professor; UC Davis","PC Members","sigmod","2018","Houston","Texas","USA",89,850
"FzNzuBsAAAAJ","Mourad Ouzzani","Qatar Computing Research Institute; HBKU","PC Members","sigmod","2018","Houston","Texas","USA",157,2732
"qXb4xQMAAAAJ","Murat Kantarcioglu","Professor of Computer Science;University of Texas at Dallas","PC Members","sigmod","2018","Houston","Texas","USA",299,8099
"poXWlycAAAAJ","Tang Nan","Qatar Computing Research Institute","PC Members","sigmod","2018","Houston","Texas","USA",64,1452
"jOvUDjYAAAAJ","Nikos Mamoulis","University of Ioannina","PC Members","sigmod","2018","Houston","Texas","USA",247,9692
"Qc_4yiYAAAAJ","Ninghui Li","Professor of Computer Science;Purdue University","PC Members","sigmod","2018","Houston","Texas","USA",177,13359
"B6C4aBoAAAAJ","Panagiotis Karras","Associate Professor;Aarhus University","PC Members","sigmod","2018","Houston","Texas","USA",57,1872
"YwoezYX7JVgJ","Paolo Papotti","Assist. Professor atEurecom","PC Members","sigmod","2018","Houston","Texas","USA",95,1408
"CaO1wNAAAAAJ","Paraschos Koutris","University of Washington","PC Members","sigmod","2018","Houston","Texas","USA",42,650
"TKSjVTUAAAAJ","Peter Alvaro","Assistant Professor of Computer Science;UC Santa Cruz","PC Members","sigmod","2018","Houston","Texas","USA",36,1810
"qG1LVpQAAAAJ","Peter Bailis","Stanford DAWN","PC Members","sigmod","2018","Houston","Texas","USA",31,1191
"vYcHYoYAAAAJ","Peter Pietzuch","Professor of Distributed Systems;Imperial College London","PC Members","sigmod","2018","Houston","Texas","USA",168,5016
