9LTwX4cAAAAJ,92,1943
9mIBxkMAAAAJ,60,1195
9OdHL5wAAAAJ,314,11854
9Q8DH5sAAAAJ,25,167
9Q9tiCsAAAAJ,36,272
9Qs9CEQAAAAJ,60,1224
9u7wNjUAAAAJ,51,1184
a-p1NYUAAAAJ,16,792
A0hv6xwAAAAJ,90,6571
a1ngrCIAAAAJ,363,41699
A3ZBxxcAAAAJ,282,5286
a4HRDBEAAAAJ,15,378
AGN14uwAAAAJ,110,9720
AHOG_MgAAAAJ,198,6365
aiulJmIAAAAJ,580,26182
AjuZwsIAAAAJ,19,331
AjxoEpIAAAAJ,174,5718
AjYkTi8AAAAJ,65,2751
am2ohp0AAAAJ,66,1500
aP-_mb8AAAAJ,169,3068
aPB--KUAAAAJ,260,10614
APs1p2oAAAAJ,267,3441
AQA5QtAAAAAJ,293,5771
AQJggUwAAAAJ,119,1893
aqV8t7QAAAAJ,88,1779
atL47L0AAAAJ,200,4420
av8jooQAAAAJ,82,1116
Avus2kcAAAAJ,159,4465
axPr2SQAAAAJ,414,18040
aYYaoTEAAAAJ,86,2011
AZREOBUAAAAJ,66,2479
B5YcbTYAAAAJ,119,3704
B6C4aBoAAAAJ,57,1872
BaChLEEAAAAJ,31,266
BauIS1IAAAAJ,194,3955
bEpmUQ0AAAAJ,38,478
BGh9WU4AAAAJ,44,820
biuxbRsAAAAJ,113,3970
bkcNcHYAAAAJ,90,9121
bMQIencAAAAJ,175,6388
bojNjiYAAAAJ,3,7
BpgsGX0AAAAJ,96,6293
BQvUJuYAAAAJ,89,975
bshz1DEAAAAJ,48,1515
bSWreJ4AAAAJ,110,2953
BtpxluIAAAAJ,51,2290
bxSK7o8AAAAJ,105,1915
B_GQDXMAAAAJ,58,2128
C6Pd5zoAAAAJ,78,3190
C6yankcAAAAJ,51,2829
C77agCsAAAAJ,82,1882
ca7BUlkAAAAJ,16,243
CaO1wNAAAAAJ,42,650
chWbG70AAAAJ,81,860
CIFkSBUAAAAJ,898,10887
cIuzBbsAAAAJ,78,1023
ck-yNM0AAAAJ,96,1108
clR6jhIAAAAJ,46,566
cSfl_CoAAAAJ,69,378
cuVzEDYAAAAJ,11,566
czUxfJgAAAAJ,121,7350
D2P2B0MAAAAJ,98,2486
dBJXoN0AAAAJ,51,876
DbusQz8AAAAJ,267,2529
Dc7akeoAAAAJ,251,13476
DCIZE1kAAAAJ,232,6265
dDBGgkEAAAAJ,222,4208
