PID,Duty, Title, Author, Co-Author1, Co-Author2, Co-Author3, Co-Author4, Co-Author5, Conference, Year, #Citations
0EWw1z8AAAAJ,PC@VLDB, Sticky notes for the semantic web, David R Karger,  Boris Katz,  Jimmy Lin,  Dennis Quan, , , Proceedings of the 8th international conference on Intelligent user interfaces,2003,33
0EWw1z8AAAAJ,PC@VLDB, Temporal feedback for tweet search with non-parametric density estimation, Miles Efron,  Jimmy Lin,  Jiyin He,  Arjen De Vries, , , Proceedings of the 37th international ACM SIGIR conference on Research & development in information retrieval,2014,32
0EWw1z8AAAAJ,PC@VLDB, Question answering techniques for the World Wide Web, Jimmy Lin,  Boris Katz, , , , , EACL-2003 Tutorial,2003,32
0EWw1z8AAAAJ,PC@VLDB, PageRank without hyperlinks: Reranking with PubMed related article networks for biomedical text retrieval, Jimmy Lin, , , , , , BMC bioinformatics,2008,31
0EWw1z8AAAAJ,PC@VLDB, Evaluation of resources for question answering evaluation, Jimmy Lin, , , , , , Proceedings of the 28th annual international ACM SIGIR conference on Research and development in information retrieval,2005,30
0EWw1z8AAAAJ,PC@VLDB, Sentence compression as a component of a multi-document summarization system, David M Zajic,  Bonnie Dorr,  Jimmy Lin,  Richard Schwartz, , , Proceedings of the 2006 document understanding workshop; New York,2006,29
0EWw1z8AAAAJ,PC@VLDB, Runtime optimizations for tree-based machine learning models, Nima Asadi,  Jimmy Lin,  Arjen P De Vries, , , , IEEE Transactions on Knowledge and Data Engineering,2014,27
0EWw1z8AAAAJ,PC@VLDB, Ranking under temporal constraints, Lidan Wang,  Donald Metzler,  Jimmy Lin, , , , Proceedings of the 19th ACM international conference on Information and knowledge management,2010,27
0EWw1z8AAAAJ,PC@VLDB, Is question answering better than information retrieval? Towards a task-based evaluation framework for question series, Jimmy Lin, , , , , , Human Language Technologies 2007: The Conference of the North American Chapter of the Association for Computational Linguistics; Proceedings of the Main Conference,2007,27
0EWw1z8AAAAJ,PC@VLDB, Low-latency; high-throughput access to static global resources within the Hadoop framework, Jimmy Lin,  Anand Bahety,  Shravya Konda,  Samantha Mahindrakar, , , University of Maryland; Tech. Rep,2009,26
0EWw1z8AAAAJ,PC@VLDB, Modeling actions of PubMed users with n-gram language models, Jimmy Lin,  W John Wilbur, , , , , Information retrieval,2009,25
0EWw1z8AAAAJ,PC@VLDB, Multiple alternative sentence compressions for automatic text summarization, Nitin Madnani,  David Zajic,  Bonnie Dorr,  Necip Fazil Ayan,  Jimmy Lin, , Proceedings of DUC,2007,25
