PID, Duty, Conference, Year, City, State, Country
2cpal78AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
o0F3sqEAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
4_1z8yEAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
k3YaoIEAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
aiulJmIAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
w6hts30AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
rg6Bl5YAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
vzfO5TwAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
LKgo-jcAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
dwxm_CoAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
ZUzG5igAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
ZfUyYtEAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
biuxbRsAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
IukO3bIAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
ewCT-KkAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
VKfq59gAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
nKR2tGvMLFMC,PC Members,sigmod,2018,Houston,Texas,USA
Md2HV1cAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
u0S6ofAAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Owype4oAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
oPGhz_cAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
YYzvyMQAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Jp_w2IwAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
y6m820wAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
BpgsGX0AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
XZV2eogAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Y1aOQ3QAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
BtpxluIAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
81cvn3sAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
FI1rYesAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
K-isjagAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
XbLPeQcAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
r1VFrkAAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
9LTwX4cAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
9u7wNjUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
_XE_jhQAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
3FmJBHkAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
SB3_eb0AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Qg7T6vUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
p3aFd0sAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
ck-yNM0AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
