PID, Role, Conference, Year
u1UDm4wAAAAJ,PC Members,sigmod,2017
vYcHYoYAAAAJ,PC Members,sigmod,2017
1jP_gqcAAAAJ,PC Members,sigmod,2017
PsBGmRcAAAAJ,PC Members,sigmod,2017
QpbUFRsAAAAJ,PC Members,sigmod,2017
BQvUJuYAAAAJ,PC Members,sigmod,2017
ODCUXBgAAAAJ,PC Members,sigmod,2017
ZUzG5igAAAAJ,PC Members,sigmod,2017
GEnUYjQAAAAJ,PC Members,sigmod,2017
vzfO5TwAAAAJ,PC Members,sigmod,2017
iIFHZ1UAAAAJ,PC Members,sigmod,2017
8PfpzuEAAAAJ,PC Members,sigmod,2017
XxQq8nsAAAAJ,PC Members,sigmod,2017
kOc0x0MAAAAJ,PC Members,sigmod,2017
zCpQUukAAAAJ,PC Members,sigmod,2017
qdMkAEIAAAAJ,PC Members,sigmod,2017
eao5MiQAAAAJ,PC Members,sigmod,2017
jWdEzfgAAAAJ,PC Members,sigmod,2017
xEZlTrIAAAAJ,PC Members,sigmod,2017
UhJRkaIAAAAJ,PC Members,sigmod,2017
pyZ_FH4AAAAJ,PC Members,sigmod,2017
FmRpFsoAAAAJ,PC Members,sigmod,2017
poXWlycAAAAJ,PC Members,sigmod,2017
YlsHgYQAAAAJ,PC Members,sigmod,2017
Xm9AagkAAAAJ,PC Members,sigmod,2017
JTmMb3kAAAAJ,PC Members,sigmod,2017
HPYVJacAAAAJ,PC Members,sigmod,2017
EoG3v7QAAAAJ,PC Members,sigmod,2017
oaM-d7QAAAAJ,PC Members,sigmod,2017
FI1rYesAAAAJ,PC Members,sigmod,2017
ZxgGJMwAAAAJ,PC Members,sigmod,2017
gMOBKfUAAAAJ,PC Members,sigmod,2017
Q1mcglAAAAAJ,PC Members,sigmod,2017
3HUfWfkAAAAJ,PC Members,sigmod,2017
fKV65XQAAAAJ,PC Members,sigmod,2017
IKgiD0AAAAAJ,PC Members,sigmod,2017
X53rkecAAAAJ,PC Members,sigmod,2017
Owype4oAAAAJ,PC Members,sigmod,2017
6zswH_oAAAAJ,PC Members,sigmod,2017
iHevumsAAAAJ,PC Members,sigmod,2017
EA4ZKygAAAAJ,PC Members,sigmod,2017
a1ngrCIAAAAJ,Program Chair,sigmod,2016
biuxbRsAAAAJ,PC Track Chairs,sigmod,2016
sOzdfjYAAAAJ,PC Track Chairs,sigmod,2016
rMtUkMcAAAAJ,Group Leaders,sigmod,2016
DDxFvcIAAAAJ,Group Leaders,sigmod,2016
Iqsl_XMAAAAJ,Group Leaders,sigmod,2016
r1quzEkAAAAJ,Group Leaders,sigmod,2016
GhGV4P8AAAAJ,Group Leaders,sigmod,2016
pOh1as0AAAAJ,Group Leaders,sigmod,2016
YG6mTEIAAAAJ,Group Leaders,sigmod,2016
D2P2B0MAAAAJ,Group Leaders,sigmod,2016
jfdT_HIAAAAJ,Group Leaders,sigmod,2016
hcqjUUQAAAAJ,Group Leaders,sigmod,2016
vq5oTnEAAAAJ,Group Leaders,sigmod,2016
YwoezYX7JVgJ,Group Leaders,sigmod,2016
gMOBKfUAAAAJ,Group Leaders,sigmod,2016
zxeEF2gAAAAJ,PC Members,sigmod,2016
47sihrsAAAAJ,PC Members,sigmod,2016
pU0dce0AAAAJ,PC Members,sigmod,2016
gC5ucdsAAAAJ,PC Members,sigmod,2016
BtpxluIAAAAJ,PC Members,sigmod,2016
ww87pkcAAAAJ,PC Members,sigmod,2016
fkNjVcIAAAAJ,PC Members,sigmod,2016
TKSjVTUAAAAJ,PC Members,sigmod,2016
rMtUkMcAAAAJ,PC Members,sigmod,2016
2eUL7eEAAAAJ,PC Members,sigmod,2016
qtfHsnoAAAAJ,PC Members,sigmod,2016
qG1LVpQAAAAJ,PC Members,sigmod,2016
DDxFvcIAAAAJ,PC Members,sigmod,2016
usr3H7gAAAAJ,PC Members,sigmod,2016
e7Qs3JgAAAAJ,PC Members,sigmod,2016
6OEYXEIAAAAJ,PC Members,sigmod,2016
Iqsl_XMAAAAJ,PC Members,sigmod,2016
4_1z8yEAAAAJ,PC Members,sigmod,2016
dDBGgkEAAAAJ,PC Members,sigmod,2016
R1Jt75cAAAAJ,PC Members,sigmod,2016
DCIZE1kAAAAJ,PC Members,sigmod,2016
2mZrp18AAAAJ,PC Members,sigmod,2016
S9zyMRgAAAAJ,PC Members,sigmod,2016
rPn2SMoAAAAJ,PC Members,sigmod,2016
0s4q-8oAAAAJ,PC Members,sigmod,2016
r1quzEkAAAAJ,PC Members,sigmod,2016
keO-0s0AAAAJ,PC Members,sigmod,2016
On163UsAAAAJ,PC Members,sigmod,2016
yB17meAAAAAJ,PC Members,sigmod,2016
sugWZ6MAAAAJ,PC Members,sigmod,2016
mGPuiasAAAAJ,PC Members,sigmod,2016
gtglwgYAAAAJ,PC Members,sigmod,2016
o-I3jsgAAAAJ,PC Members,sigmod,2016
k2cCwvsAAAAJ,PC Members,sigmod,2016
gbH5eZQAAAAJ,PC Members,sigmod,2016
8QeCBlwAAAAJ,PC Members,sigmod,2016
V6f0Ao4AAAAJ,PC Members,sigmod,2016
7SdcAiEAAAAJ,PC Members,sigmod,2016
LNgp00MAAAAJ,PC Members,sigmod,2016
AGN14uwAAAAJ,PC Members,sigmod,2016
GhGV4P8AAAAJ,PC Members,sigmod,2016
IJAU8KoAAAAJ,PC Members,sigmod,2016
njFoZewAAAAJ,PC Members,sigmod,2016
LKgo-jcAAAAJ,PC Members,sigmod,2016
oaM-d7QAAAAJ,PC Members,sigmod,2016
pOh1as0AAAAJ,PC Members,sigmod,2016
JUkPW-cAAAAJ,PC Members,sigmod,2016
uGsKvHoAAAAJ,PC Members,sigmod,2016
pzcJtf4AAAAJ,PC Members,sigmod,2016
bEpmUQ0AAAAJ,PC Members,sigmod,2016
kVUa9ZoAAAAJ,PC Members,sigmod,2016
318GQ54AAAAJ,PC Members,sigmod,2016
Hs9cVRgAAAAJ,PC Members,sigmod,2016
5WOeXMAAAAAJ,PC Members,sigmod,2016
YVwFzwEAAAAJ,PC Members,sigmod,2016
9mIBxkMAAAAJ,PC Members,sigmod,2016
SGay8u4AAAAJ,PC Members,sigmod,2016
s_GmFv0AAAAJ,PC Members,sigmod,2016
lCdBR8cAAAAJ,PC Members,sigmod,2016
IukO3bIAAAAJ,PC Members,sigmod,2016
8z0TuC0AAAAJ,PC Members,sigmod,2016
PHJokEQAAAAJ,PC Members,sigmod,2016
Kv9AbjMAAAAJ,PC Members,sigmod,2016
Jp_w2IwAAAAJ,PC Members,sigmod,2016
NrgcBX8AAAAJ,PC Members,sigmod,2016
w6-6MLkAAAAJ,PC Members,sigmod,2016
wuj5y3MAAAAJ,PC Members,sigmod,2016
RogYLKYAAAAJ,PC Members,sigmod,2016
LbXvZUoAAAAJ,PC Members,sigmod,2016
rg6Bl5YAAAAJ,PC Members,sigmod,2016
YG6mTEIAAAAJ,PC Members,sigmod,2016
2wJaIkEAAAAJ,PC Members,sigmod,2016
lNQmMTMAAAAJ,PC Members,sigmod,2016
f5vdXEQAAAAJ,PC Members,sigmod,2016
J08pnbAAAAAJ,PC Members,sigmod,2016
B6C4aBoAAAAJ,PC Members,sigmod,2016
1KdkcSoAAAAJ,PC Members,sigmod,2016
ot2J_RUAAAAJ,PC Members,sigmod,2016
RLChs4QAAAAJ,PC Members,sigmod,2016
dliZB7MAAAAJ,PC Members,sigmod,2016
9Q9tiCsAAAAJ,PC Members,sigmod,2016
slVcOQIAAAAJ,PC Members,sigmod,2016
Kr6jppsAAAAJ,PC Members,sigmod,2016
0VFi-vAAAAAJ,PC Members,sigmod,2016
f0Wc8tkAAAAJ,PC Members,sigmod,2016
biuxbRsAAAAJ,PC Members,sigmod,2016
3wnvM4wAAAAJ,PC Members,sigmod,2016
YYzvyMQAAAAJ,PC Members,sigmod,2016
C6Pd5zoAAAAJ,PC Members,sigmod,2016
jfdT_HIAAAAJ,PC Members,sigmod,2016
v8ZQDf8AAAAJ,PC Members,sigmod,2016
qPDhlWkAAAAJ,PC Members,sigmod,2016
Pi89P8kAAAAJ,PC Members,sigmod,2016
0gGww7sAAAAJ,PC Members,sigmod,2016
FmSpTXQAAAAJ,PC Members,sigmod,2016
j6rglkYAAAAJ,PC Members,sigmod,2016
bojNjiYAAAAJ,PC Members,sigmod,2016
KAkAdrEAAAAJ,PC Members,sigmod,2016
wUkamYwAAAAJ,PC Members,sigmod,2016
EVNolAkAAAAJ,PC Members,sigmod,2016
SqAsppUAAAAJ,PC Members,sigmod,2016
vJUjFpQAAAAJ,PC Members,sigmod,2016
A0hv6xwAAAAJ,PC Members,sigmod,2016
a1ngrCIAAAAJ,PC Members,sigmod,2016
113myEYAAAAJ,PC Members,sigmod,2016
80pKMyMAAAAJ,PC Members,sigmod,2016
jOvUDjYAAAAJ,PC Members,sigmod,2016
dZqFyeMAAAAJ,PC Members,sigmod,2016
dqgckDgAAAAJ,PC Members,sigmod,2016
hcqjUUQAAAAJ,PC Members,sigmod,2016
wJdbXnYAAAAJ,PC Members,sigmod,2016
4fAH8jIAAAAJ,PC Members,sigmod,2016
sOzdfjYAAAAJ,PC Members,sigmod,2016
uF3-t9EAAAAJ,PC Members,sigmod,2016
PTwcvk4AAAAJ,PC Members,sigmod,2016
5_e2f04AAAAJ,PC Members,sigmod,2016
NKYtfsYAAAAJ,PC Members,sigmod,2016
ppei17sAAAAJ,PC Members,sigmod,2016
GHz1ZVIAAAAJ,PC Members,sigmod,2016
vq5oTnEAAAAJ,PC Members,sigmod,2016
HHd7uewAAAAJ,PC Members,sigmod,2016
lBF-mDAAAAAJ,PC Members,sigmod,2016
OhiNDfkAAAAJ,PC Members,sigmod,2016
a-p1NYUAAAAJ,PC Members,sigmod,2016
Pqf21y0AAAAJ,PC Members,sigmod,2016
rd7fZnQAAAAJ,PC Members,sigmod,2016
ZfUyYtEAAAAJ,PC Members,sigmod,2016
bkcNcHYAAAAJ,PC Members,sigmod,2016
4eeIj2gAAAAJ,PC Members,sigmod,2016
9560QjYAAAAJ,PC Members,sigmod,2016
W9YkIcoAAAAJ,PC Members,sigmod,2016
dwxm_CoAAAAJ,PC Members,sigmod,2016
C77agCsAAAAJ,PC Members,sigmod,2016
9Q8DH5sAAAAJ,PC Members,sigmod,2016
XQOSmToAAAAJ,PC Members,sigmod,2016
JaAonb0AAAAJ,PC Members,sigmod,2016
4k0lzWwAAAAJ,PC Members,sigmod,2016
2ubDR0gAAAAJ,PC Members,sigmod,2016
YwoezYX7JVgJ,PC Members,sigmod,2016
2mjUsP8AAAAJ,PC Members,sigmod,2016
fhxshS0AAAAJ,PC Members,sigmod,2016
u1UDm4wAAAAJ,PC Members,sigmod,2016
XGzPuKEAAAAJ,PC Members,sigmod,2016
zIMEVKsAAAAJ,PC Members,sigmod,2016
vYcHYoYAAAAJ,PC Members,sigmod,2016
1jP_gqcAAAAJ,PC Members,sigmod,2016
3r_xVvkAAAAJ,PC Members,sigmod,2016
sLHyO1wAAAAJ,PC Members,sigmod,2016
4daYeHcAAAAJ,PC Members,sigmod,2016
