PID, Role, Conference, Year
jEdhxGMAAAAJ,PC,vldb,2016
XrEe_oIAAAAJ,PC,vldb,2016
eQUn8ugAAAAJ,PC,vldb,2016
YlsHgYQAAAAJ,PC,vldb,2016
4ZYEiVEAAAAJ,PC,vldb,2016
j6KFCRAAAAAJ,PC,vldb,2016
SdGU2bMAAAAJ,PC,vldb,2016
WiQmAvYAAAAJ,PC,vldb,2016
wUJ2bXgAAAAJ,PC,vldb,2016
5bYRZ4sAAAAJ,PC,vldb,2016
oaM-d7QAAAAJ,PC,vldb,2016
Q1mcglAAAAAJ,PC,vldb,2016
wLtu3FYAAAAJ,PC,vldb,2016
RMaqDKAAAAAJ,PC,vldb,2016
15bmyOkAAAAJ,PC,vldb,2016
iHevumsAAAAJ,PC,vldb,2016
6zswH_oAAAAJ,PC,vldb,2016
13Nd-WcAAAAJ,PC,vldb,2016
y6m820wAAAAJ,PC,vldb,2016
jZgjlGUAAAAJ,PC,vldb,2016
K2jKdVMAAAAJ,Vicechairs,icde,2018
tNmIw4MAAAAJ,Vicechairs,icde,2018
DuLgpaQAAAAJ,Vicechairs,icde,2018
cSfl_CoAAAAJ,Vicechairs,icde,2018
GAlAgGsAAAAJ,Vicechairs,icde,2018
89WvmaAAAAAJ,Vicechairs,icde,2018
G1Iux80AAAAJ,Vicechairs,icde,2018
FI1rYesAAAAJ,Vicechairs,icde,2018
B_GQDXMAAAAJ,Vicechairs,icde,2018
j6KFCRAAAAAJ,Vicechairs,icde,2018
SKVnHakAAAAJ,Vicechairs,icde,2018
clR6jhIAAAAJ,Vicechairs,icde,2018
KHjLaWAAAAAJ,Vicechairs,icde,2018
47sihrsAAAAJ,Vicechairs,icde,2018
4_1z8yEAAAAJ,Vicechairs,icde,2018
YERhuN8AAAAJ,Vicechairs,icde,2018
mGPuiasAAAAJ,Vicechairs,icde,2018
IJAU8KoAAAAJ,Vicechairs,icde,2018
3r_xVvkAAAAJ,Vicechairs,icde,2018
WFFamJkAAAAJ,Vicechairs,icde,2018
HCxwGIkAAAAJ,Vicechairs,icde,2018
wo20cPYAAAAJ,Vicechairs,icde,2018
ifU81ikAAAAJ,Program Committee,icde,2018
W9ddrU8AAAAJ,Program Committee,icde,2018
YdrkeNwAAAAJ,Program Committee,icde,2018
RyXHY68AAAAJ,Program Committee,icde,2018
ck-yNM0AAAAJ,Program Committee,icde,2018
4MDT20wAAAAJ,Program Committee,icde,2018
zpBeoc8AAAAJ,Program Committee,icde,2018
pHwxwjwAAAAJ,Program Committee,icde,2018
EfuT9RoAAAAJ,Program Committee,icde,2018
R1Jt75cAAAAJ,Program Committee,icde,2018
mQMC3aYAAAAJ,Program Committee,icde,2018
w5bvD40AAAAJ,Program Committee,icde,2018
xiSS1ZIAAAAJ,Program Committee,icde,2018
QXyj0hkAAAAJ,Program Committee,icde,2018
kJIkUagAAAAJ,Program Committee,icde,2018
sHXqNl4AAAAJ,Program Committee,icde,2018
chWbG70AAAAJ,Program Committee,icde,2018
2YD5wcEAAAAJ,Program Committee,icde,2018
gtglwgYAAAAJ,Program Committee,icde,2018
o-I3jsgAAAAJ,Program Committee,icde,2018
S6L1eOMAAAAJ,Program Committee,icde,2018
KolmTncAAAAJ,Program Committee,icde,2018
srFoN_4AAAAJ,Program Committee,icde,2018
diEa5x0AAAAJ,Program Committee,icde,2018
2lZr6WsAAAAJ,Program Committee,icde,2018
bshz1DEAAAAJ,Program Committee,icde,2018
KBiBATkAAAAJ,Program Committee,icde,2018
gsE1VKUAAAAJ,Program Committee,icde,2018
87TyXPcAAAAJ,Program Committee,icde,2018
JxiXHvcAAAAJ,Program Committee,icde,2018
ww87pkcAAAAJ,Program Committee,icde,2018
fYPVRLgAAAAJ,Program Committee,icde,2018
g0c3rmQAAAAJ,Program Committee,icde,2018
ocfGYhcAAAAJ,Program Committee,icde,2018
WemX9rAAAAAJ,Program Committee,icde,2018
9mIBxkMAAAAJ,Program Committee,icde,2018
HEFGlx8AAAAJ,Program Committee,icde,2018
F4eflRgAAAAJ,Program Committee,icde,2018
lCdBR8cAAAAJ,Program Committee,icde,2018
Fz-M2tkAAAAJ,Program Committee,icde,2018
XG6dlLAAAAAJ,Program Committee,icde,2018
8AiPiU0AAAAJ,Program Committee,icde,2018
s3L_fj0AAAAJ,Program Committee,icde,2018
wx6jA30AAAAJ,Program Committee,icde,2018
rDULxmwAAAAJ,Program Committee,icde,2018
jyykiFIAAAAJ,Program Committee,icde,2018
IBZL3aQAAAAJ,Program Committee,icde,2018
dQ-x9NQAAAAJ,Program Committee,icde,2018
nKR2tGvMLFMC,Program Committee,icde,2018
xOEd-Z8AAAAJ,Program Committee,icde,2018
MvGKdLoAAAAJ,Program Committee,icde,2018
fjAgFSkAAAAJ,Program Committee,icde,2018
jCJDleAAAAAJ,Program Committee,icde,2018
D2P2B0MAAAAJ,Program Committee,icde,2018
-NdSrrYAAAAJ,Program Committee,icde,2018
2lpWTDYAAAAJ,Program Committee,icde,2018
qXb4xQMAAAAJ,Program Committee,icde,2018
GSQaeoQAAAAJ,Program Committee,icde,2018
RLChs4QAAAAJ,Program Committee,icde,2018
-18k9ocAAAAJ,Program Committee,icde,2018
7PQN6r4AAAAJ,Program Committee,icde,2018
DbusQz8AAAAJ,Program Committee,icde,2018
f0Wc8tkAAAAJ,Program Committee,icde,2018
-QycpNcAAAAJ,Program Committee,icde,2018
h9mbv9MAAAAJ,Program Committee,icde,2018
9OdHL5wAAAAJ,Program Committee,icde,2018
qFOwPNQAAAAJ,Program Committee,icde,2018
s-pXApcAAAAJ,Program Committee,icde,2018
jfdT_HIAAAAJ,Program Committee,icde,2018
j6rglkYAAAAJ,Program Committee,icde,2018
VIwtdckAAAAJ,Program Committee,icde,2018
BaChLEEAAAAJ,Program Committee,icde,2018
MT_DWa4AAAAJ,Program Committee,icde,2018
h1mExmcAAAAJ,Program Committee,icde,2018
SqAsppUAAAAJ,Program Committee,icde,2018
vJUjFpQAAAAJ,Program Committee,icde,2018
A0hv6xwAAAAJ,Program Committee,icde,2018
a1ngrCIAAAAJ,Program Committee,icde,2018
jOvUDjYAAAAJ,Program Committee,icde,2018
MVbJ9wQAAAAJ,Program Committee,icde,2018
PH96F4oAAAAJ,Program Committee,icde,2018
ZPczFBAAAAAJ,Program Committee,icde,2018
dq6GHFwAAAAJ,Program Committee,icde,2018
njKmu5cAAAAJ,Program Committee,icde,2018
zRbR5b8AAAAJ,Program Committee,icde,2018
evZ9Q9EAAAAJ,Program Committee,icde,2018
gg0HkEsAAAAJ,Program Committee,icde,2018
reYJaYMAAAAJ,Program Committee,icde,2018
mADR4AYAAAAJ,Program Committee,icde,2018
1poKDLsAAAAJ,Program Committee,icde,2018
JaAonb0AAAAJ,Program Committee,icde,2018
YwoezYX7JVgJ,Program Committee,icde,2018
zV_MbA4AAAAJ,Program Committee,icde,2018
XGzPuKEAAAAJ,Program Committee,icde,2018
mVj8o7gAAAAJ,Program Committee,icde,2018
uwwHfssAAAAJ,Program Committee,icde,2018
2ps8xkcAAAAJ,Program Committee,icde,2018
7yQLkCMAAAAJ,Program Committee,icde,2018
LFLG5pcAAAAJ,Program Committee,icde,2018
K4w5qYUAAAAJ,Program Committee,icde,2018
ZUzG5igAAAAJ,Program Committee,icde,2018
47gh3JkAAAAJ,Program Committee,icde,2018
WHug6IAAAAAJ,Program Committee,icde,2018
qz6YaN4AAAAJ,Program Committee,icde,2018
5okzSN0AAAAJ,Program Committee,icde,2018
Lx9fbJoAAAAJ,Program Committee,icde,2018
t7z2V78AAAAJ,Program Committee,icde,2018
XxQq8nsAAAAJ,Program Committee,icde,2018
nAGXeFkAAAAJ,Program Committee,icde,2018
M7whMe0AAAAJ,Program Committee,icde,2018
IJECSdkAAAAJ,Program Committee,icde,2018
OFlBSEEAAAAJ,Program Committee,icde,2018
-Nw_vTIAAAAJ,Program Committee,icde,2018
wmleQ1QAAAAJ,Program Committee,icde,2018
Lck1uq8AAAAJ,Program Committee,icde,2018
pyZ_FH4AAAAJ,Program Committee,icde,2018
FmRpFsoAAAAJ,Program Committee,icde,2018
poXWlycAAAAJ,Program Committee,icde,2018
Hp8UvrcAAAAJ,Program Committee,icde,2018
RaINcuUAAAAJ,Program Committee,icde,2018
Avus2kcAAAAJ,Program Committee,icde,2018
seXHg1QAAAAJ,Program Committee,icde,2018
Rmds8IcAAAAJ,Program Committee,icde,2018
fUTN90MAAAAJ,Program Committee,icde,2018
IS2FI1oAAAAJ,Program Committee,icde,2018
wYQ-rAQAAAAJ,Program Committee,icde,2018
7xp4lKgAAAAJ,Program Committee,icde,2018
qfCah3sAAAAJ,Program Committee,icde,2018
ZxgGJMwAAAAJ,Program Committee,icde,2018
Dc7akeoAAAAJ,Program Committee,icde,2018
wLtu3FYAAAAJ,Program Committee,icde,2018
46Dd4v4AAAAJ,Program Committee,icde,2018
Inqu8SkAAAAJ,Program Committee,icde,2018
7WFEUNUAAAAJ,Program Committee,icde,2018
X53rkecAAAAJ,Program Committee,icde,2018
RMaqDKAAAAAJ,Program Committee,icde,2018
jJ8BLgsAAAAJ,Program Committee,icde,2018
LJNsBeoAAAAJ,Program Committee,icde,2018
iHevumsAAAAJ,Program Committee,icde,2018
zMYeuzMAAAAJ,Program Committee,icde,2018
kbphsU0AAAAJ,Program Committee,icde,2018
qjBQhoUAAAAJ,Program Committee,icde,2018
l7FSy98AAAAJ,Program Committee,icde,2018
JJsBmhYAAAAJ,Program Committee,icde,2018
pHMIJG8AAAAJ,Program Committee,icde,2018
Xk6QwMgAAAAJ,Program Committee,icde,2018
6-SBOoIAAAAJ,Program Committee,icde,2018
fv1GAB8AAAAJ,Program Committee,icde,2018
sTAoZeUAAAAJ,Program Committee,icde,2018
y5Jl2xsAAAAJ,Program Committee,icde,2018
EkrwLHoAAAAJ,Program Committee,icde,2018
nYN9A3IAAAAJ,Program Committee,icde,2018
Htf2zbsAAAAJ,Program Committee,icde,2018
EM-l50cAAAAJ,Program Committee,icde,2018
y6m820wAAAAJ,Program Committee,icde,2018
s-FDyf4AAAAJ,Program Committee,icde,2018
81cvn3sAAAAJ,Program Committee Chairs,icde,2017
VghIYWEAAAAJ,Program Committee Chairs,icde,2017
gtglwgYAAAAJ,Area Chairs,icde,2017
7R7MSb4AAAAJ,Area Chairs,icde,2017
9mIBxkMAAAAJ,Area Chairs,icde,2017
RogYLKYAAAAJ,Area Chairs,icde,2017
rg6Bl5YAAAAJ,Area Chairs,icde,2017
D2P2B0MAAAAJ,Area Chairs,icde,2017
lWw-l1EAAAAJ,Area Chairs,icde,2017
mlafJ6wAAAAJ,Area Chairs,icde,2017
dwxm_CoAAAAJ,Area Chairs,icde,2017
JaAonb0AAAAJ,Area Chairs,icde,2017
j6KFCRAAAAAJ,Area Chairs,icde,2017
X53rkecAAAAJ,Area Chairs,icde,2017
47sihrsAAAAJ,Program Committee,icde,2017
kZERbLEAAAAJ,Program Committee,icde,2017
E9YbZ3cAAAAJ,Program Committee,icde,2017
ck-yNM0AAAAJ,Program Committee,icde,2017
yvT-HVYAAAAJ,Program Committee,icde,2017
e7Qs3JgAAAAJ,Program Committee,icde,2017
Iqsl_XMAAAAJ,Program Committee,icde,2017
4_1z8yEAAAAJ,Program Committee,icde,2017
Km1V8WwAAAAJ,Program Committee,icde,2017
YQV_ChkAAAAJ,Program Committee,icde,2017
biuxbRsAAAAJ,Program Committee,icde,2017
rPn2SMoAAAAJ,Program Committee,icde,2017
w5bvD40AAAAJ,Program Committee,icde,2017
QXyj0hkAAAAJ,Program Committee,icde,2017
0XpXCu8AAAAJ,Program Committee,icde,2017
o-I3jsgAAAAJ,Program Committee,icde,2017
IJAU8KoAAAAJ,Program Committee,icde,2017
QPyHkEQAAAAJ,Program Committee,icde,2017
Kk0QTh4AAAAJ,Program Committee,icde,2017
srFoN_4AAAAJ,Program Committee,icde,2017
pOh1as0AAAAJ,Program Committee,icde,2017
2BnMsFIAAAAJ,Program Committee,icde,2017
Hs9cVRgAAAAJ,Program Committee,icde,2017
hEonvSwAAAAJ,Program Committee,icde,2017
yJ998VYAAAAJ,Program Committee,icde,2017
K5VPw-IAAAAJ,Program Committee,icde,2017
PpcRwI0AAAAJ,Program Committee,icde,2017
63bBmc3mYrAC,Program Committee,icde,2017
6CYvAjIAAAAJ,Program Committee,icde,2017
jCJDleAAAAAJ,Program Committee,icde,2017
f5vdXEQAAAAJ,Program Committee,icde,2017
-NdSrrYAAAAJ,Program Committee,icde,2017
av8jooQAAAAJ,Program Committee,icde,2017
B6C4aBoAAAAJ,Program Committee,icde,2017
1KdkcSoAAAAJ,Program Committee,icde,2017
ot2J_RUAAAAJ,Program Committee,icde,2017
vLbmweYAAAAJ,Program Committee,icde,2017
aP-_mb8AAAAJ,Program Committee,icde,2017
bxSK7o8AAAAJ,Program Committee,icde,2017
CaO1wNAAAAAJ,Program Committee,icde,2017
biuxbRsAAAAJ,Program Committee,icde,2017
hZQ57XcAAAAJ,Program Committee,icde,2017
YYzvyMQAAAAJ,Program Committee,icde,2017
Pi89P8kAAAAJ,Program Committee,icde,2017
v8ZQDf8AAAAJ,Program Committee,icde,2017
qPDhlWkAAAAJ,Program Committee,icde,2017
ICOWtt0AAAAJ,Program Committee,icde,2017
_ILTBg0AAAAJ,Program Committee,icde,2017
j6rglkYAAAAJ,Program Committee,icde,2017
EVNolAkAAAAJ,Program Committee,icde,2017
vJUjFpQAAAAJ,Program Committee,icde,2017
A0hv6xwAAAAJ,Program Committee,icde,2017
jOvUDjYAAAAJ,Program Committee,icde,2017
E0QQoIMAAAAJ,Program Committee,icde,2017
kZti0OcAAAAJ,Program Committee,icde,2017
Uk9v1BQAAAAJ,Program Committee,icde,2017
vq5oTnEAAAAJ,Program Committee,icde,2017
xSDfDpsAAAAJ,Program Committee,icde,2017
ZXjO-Q4AAAAJ,Program Committee,icde,2017
JzoifEMAAAAJ,Program Committee,icde,2017
XQOSmToAAAAJ,Program Committee,icde,2017
2ubDR0gAAAAJ,Program Committee,icde,2017
2mjUsP8AAAAJ,Program Committee,icde,2017
XGzPuKEAAAAJ,Program Committee,icde,2017
vYcHYoYAAAAJ,Program Committee,icde,2017
7yQLkCMAAAAJ,Program Committee,icde,2017
1XZix7MAAAAJ,Program Committee,icde,2017
4daYeHcAAAAJ,Program Committee,icde,2017
3ggE9SkAAAAJ,Program Committee,icde,2017
5okzSN0AAAAJ,Program Committee,icde,2017
O3SR2kAAAAAJ,Program Committee,icde,2017
8PfpzuEAAAAJ,Program Committee,icde,2017
o0F3sqEAAAAJ,Program Committee,icde,2017
XxQq8nsAAAAJ,Program Committee,icde,2017
SLdtHZAAAAAJ,Program Committee,icde,2017
wKuXqccAAAAJ,Program Committee,icde,2017
KHjLaWAAAAAJ,Program Committee,icde,2017
SGT23RAAAAAJ,Program Committee,icde,2017
6DK9cqAAAAAJ,Program Committee,icde,2017
TQgOjK0AAAAJ,Program Committee,icde,2017
ca7BUlkAAAAJ,Program Committee,icde,2017
LVKaMIgAAAAJ,Program Committee,icde,2017
3FmJBHkAAAAJ,Program Committee,icde,2017
JU-zSOkAAAAJ,Program Committee,icde,2017
HF2G3LAAAAAJ,Program Committee,icde,2017
RaINcuUAAAAJ,Program Committee,icde,2017
IS2FI1oAAAAJ,Program Committee,icde,2017
3NqU8V8AAAAJ,Program Committee,icde,2017
oaM-d7QAAAAJ,Program Committee,icde,2017
FI1rYesAAAAJ,Program Committee,icde,2017
Lkt7O6wAAAAJ,Program Committee,icde,2017
w6hts30AAAAJ,Program Committee,icde,2017
a4HRDBEAAAAJ,Program Committee,icde,2017
r1VFrkAAAAAJ,Program Committee,icde,2017
f8FjAtMAAAAJ,Program Committee,icde,2017
Htf2zbsAAAAJ,Program Committee,icde,2017
GkXqbmMAAAAJ,Program Committee,icde,2017
kAq_-McAAAAJ,Program Committee,icde,2017
Nr6E_rIAAAAJ,Program Committee,icde,2017
E4GQv5cAAAAJ,Program Committee,icde,2017
jZgjlGUAAAAJ,Program Committee,icde,2017
s-FDyf4AAAAJ,Program Committee,icde,2017
