PID, Name, Affiliation
9Qs9CEQAAAAJ,Lei Chen,Assistant Professor
G-1f1G4AAAAJ,James Cheney,Reader; Laboratory for Foundations of Computer Science;University of Edinburgh
qljqoI0AAAAJ,Alvin Lee,Lecturer;Deakin University
PDwcE7wAAAAJ,John Cieslewicz,Google LLC
1WXDq-sAAAAJ,Radu Ciucanu,Université Clermont Auvergne
8QeCBlwAAAAJ,Sarah Cohen-Boulakia,Professor;Université Paris-Sud(Paris-Saclay)
mdE4fyoAAAAJ,Dario Colazzo,Université Paris Dauphine
7SdcAiEAAAAJ,Tyson Condie,Professor of Computer Science;UCLA
oleB9xIAAAAJ,Gautam Das,Professor; Computer Science and Engineering Department;University of Texas at Arlington
njFoZewAAAAJ,Mahashweta Das,Sr. Research Scientist; Visa Research; Palo Alto
Ka6w1vgAAAAJ,Altigran Soares da Silva,Professor of Computer Science;Universidade Federal do Amzonas
2lZr6WsAAAAJ,Alin Deutsch,Professor of Computer Science;University of California San Diego
IF0C9wQAAAAJ,Harish Doraiswamy,NYU Center for Data Science
318GQ54AAAAJ,Curtis Dyreson,Computer Science;Utah State University
5WOeXMAAAAAJ,Avrilia Floratou,Senior Scientist atMicrosoft
9mIBxkMAAAAJ,Wolfgang Gatterbauer,College of Computer and Information Science;Northeastern University
MVxcjEoAAAAJ,Rong Ge,Duke University
s_GmFv0AAAAJ,Rainer Gemulla,Professor for Computer Science;University of Mannheim; Germany
lCdBR8cAAAAJ,Boris Glavic,Assistant Professor;Illinois Institute of Technology
LdixJxkAAAAJ,Raman Grover,PhD (Computer Science);University of California; Irvine
8z0TuC0AAAAJ,Torsten Grust,Professor of Computer Science;University of Tübingen; Germany
w6-6MLkAAAAJ,Oktie Hassanzadeh,IBM Research /University of Toronto
yJ998VYAAAAJ,Thomas Heinis,Imperial College London
K5VPw-IAAAAJ,Melanie Herschel,University of Stuttgart
LbXvZUoAAAAJ,Katja Hose,Aalborg University; Denmark
YG6mTEIAAAAJ,Ihab F. Ilyas,University of Waterloo
f5vdXEQAAAAJ,Alekh Jindal,Senior Scientist;Microsoft
2QkR2WoAAAAJ,Srikanth Kandula,Principal Researcher;Microsoft
aYYaoTEAAAAJ,Yaron Kanza,Assistant Professor of Computer Science;Technion - Israel Institute of Technology
w2CfzowAAAAJ,Konstantinos Karanasos,Senior Scientist;Microsoft
eavzCOMAAAAJ,Ioannis P. Baziotis,Assistant Professor; Department of Natural Resources Management & Agricultural Engineering
nwDychwAAAAJ,C P Kaushik,Amity School of Earth and Environmental Sciences;Amity University Haryana; Gurgaon
9Q9tiCsAAAAJ,Oliver A. Kennedy,Assistant Professor;University at Buffalo
dg3_PMoAAAAJ,George Konstantinidis,Electronics and Computer Science;University of Southampton
jNQlAkoAAAAJ,Shiri Azenkot,Jacobs Technion-Cornell Institute;Cornell Tech
39uRKZsAAAAJ,Rajasekar Krishnamurthy,IBM Research
HYDToQYAAAAJ,YongChul Kwon,Google
UR4eDW4AAAAJ,Alexandros Labrinidis,Professor of Computer Science;University of Pittsburgh
FJtpK04AAAAJ,Julien Leblay,Research scientist;AIST
Vday3jIAAAAJ,Daniel A. Lerner,Deusto Business School; Universidad de Deusto
jqzSwdsAAAAJ,Chen Li,Assistant Professor;Johns Hopkins University
rDfyQnIAAAAJ,Li Fei-Fei,Professor of Computer Science;Stanford University
DwKNhwwAAAAJ,Jianxin Li,Professor of Materials Science and Engineering;Tianjin Polytechnic University
ZZdB48QAAAAJ,Yang Li,Staff Research Scientist; Google
84VKAOtBpz4C,Yinan Li,Microsoft Research
j6rglkYAAAAJ,Xuemin Lin,UNSWScientia Professor
dBJXoN0AAAAJ,Chengfei Liu,University of California; Davis
VIwtdckAAAAJ,Ling Liu,Georgia Institute of Technology
1upl5vQAAAAJ,Ziyang Liu,PhD student;imec
BauIS1IAAAAJ,Stefan Manegold,Senior Researcher; Group leader Database Architectures;Centrum Wiskunde & Informatica(CWI); Amsterdam; The Netherlands
E0QQoIMAAAAJ,Davide Martinenghi,Politecnico di Milano
X_mATf8AAAAJ,Florent Masseglia,INRIA
5_e2f04AAAAJ,Sebastian Michel,Professor of Computer Science;TU Kaiserslautern
JMwO_hkAAAAJ,Ingo Müller,ETH Zürich
OhiNDfkAAAAJ,Arnab Nandi,Associate Professor; Computer Science & Engineering; The Ohio State University
FXIxFs4AAAAJ,Frank Neven,Professor of Computer Science;Hasselt University
W9YkIcoAAAAJ,Carlos Ordonez,Department of Computer Science;University of Houston
PlgV6FwAAAAJ,Vincent Oria,New Jersey Institute of Technology
5Ljnma4AAAAJ,Giorgio Orsi,Senior Research Scientist (Meltwater) - Honorary Research Fellow (School of Computer Science
XQOSmToAAAAJ,Stavros Papadopoulos,TileDB; Inc.
2ubDR0gAAAAJ,Stelios Paparizos,Google
